,,LIvro de Preço,,,,,
C.INTERNO,PRODUTO,,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000172,ASSENTO SANIT ESPEC ALMOF ECON ,7908027000733,PC,00484,DIVERSOS,68.31
0000173,ASSENTO SANIT ALMOFADADO ,7898436366455,PC,00570,DIVERSOS,78.00
0000174,TORNEIRA PIA 1/2 PT,7898436368692,UN,01158,DIVERSOS,7.00
0000175,TORNEIRA ESPIGA TANQUE 15CM 1/2 ,7908027007190,PC,15123,DIVERSOS,7.00
0000176,REG ESFERA SOLD C/ALAVANCA ,7898436378021,UN,00270,DIVERSOS,9.41
0000177,REG ESFERA SOLD C/ALAVANCA ,7898436378038,PC,00271,DIVERSOS,9.41
0000178,PORTA SHAMPOO BELLART BRANCO,7898436367230,PC,00600,DIVERSOS,34.00
0000179,MANG CRISTAL E NIVEL SILICONADA ,7898436360644,PC,05000,DIVERSOS,37.03
0000180,MANG DE NIVEL SILICONADA DURIN ,7898436360651,PC,05001,DIVERSOS,45.00
0000181,MANGUEIRA P/GAS DE COZINHA GLP,7898436378359,PC,05214,DIVERSOS,6.50
0000182,MECANISMO DE ENTRADA UNIV P/ CX ,7898436362129,PC,00372,DIVERSOS,65.00
0000183,KIT PARAFUSO FIXAA‡AO CX ,7898436362280,PC,00377,DIVERSOS,8.03
0000184,ASSENTO ALMF BELLART DECOR ,7908027005943,PC,01565,DIVERSOS,80.00
0000185,ASSENTO SANIT PLUS BRANCO,7898436366318,PC,00595,DIVERSOS,38.00
0000186,ASSENTO SANIT ESPECIAL BRANCO,7898436374221,PC,00662,DIVERSOS,33.50
0000187,SABONETEIRA BR SOFISTICATO,7908027007985,PC,15051,DIVERSOS,14.00
0000188,FECHADURA SILVANA EXTERNA ,7898087582358,UN,4958,SILVANA,21.00
0000189,LAVATORIO PLASTICO HERC 34X25,7898059547439,UN,2620,DIVERSOS,27.50
0000190,CURVA SOLD FORTLEV 90X25,1000000190250,UN,,DIVERSOS,12.98
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000191,"JOELHO LR AZUL 25 X 3/4"" FORTLEV",1000000191370,UN,,DIVERSOS,8.00
0000193,TE SOLD FORTLEV 20,1000000193992,UN,1259,DIVERSOS,3.00
0000194,RALO REDONDO BCO C/GRELHA ,7894061001693,UN, ,DIVERSOS,7.00
0000195,RALO POPULAR REDONBDO 100M,7894061001129,UN, ,DIVERSOS,6.00
0000196,RALO REDONDO CROMADO 100M,7894061001136,UN, ,DIVERSOS,8.12
0000197,CAIXA SIFONADA 100X50 GRELHADA ,7894061003475,UN,071338,DIVERSOS,14.81
